Model,training_configs.random_seed,train_ratio,test/pearson,test/rmse,test/spearman
BALM,12,0.3,0.682976604,1.09277904,0.665187512
BALM,12,0.2,0.638366282,1.130907416,0.612052412
BALM,12,0.1,0.460941553,1.346922278,0.514056439
BALM,123,0.3,0.673460126,1.081735015,0.640140048
BALM,123,0.2,0.661613584,1.107367992,0.620319929
BALM,1234,0.3,0.657918513,1.103488088,0.613106328
BALM,1234,0.1,0.457335532,1.29953146,0.452656044
BALM,123,0.1,0.535344005,1.281878591,0.492135108
BALM,1234,0.2,0.581057787,1.198377132,0.548457076
GP_ECFP,12,0.3,0.3495201595493341,1.372073769569397,0.3937381455295943
GP_ECFP,123,0.3,0.3357771624166716,1.404375672340393,0.36865008332495736
GP_ECFP,1234,0.3,0.3186581908679812,1.4108930826187134,0.35978533175877303
GP_ECFP,12,0.2,0.3463616775501012,1.3703012466430664,0.3893469074249543
GP_ECFP,123,0.2,0.3048584195087427,1.4124047756195068,0.3458963233228016
GP_ECFP,1234,0.2,0.34862335702603364,1.381326437,0.3905435457417228
GP_ECFP,12,0.1,0.3263132206799507,1.3967407941818235,0.37939921643544106
GP_ECFP,123,0.1,0.24114616977041564,1.466028928756714,0.30737182346850855
GP_ECFP,1234,0.1,0.29734146156789637,1.4113600254058838,0.3531107425019637
GP_ChemBERTa,12,0.3,0.6751320406103563,1.0800594091415403,0.6835322071577379
GP_ChemBERTa,123,0.3,0.6568188879417732,1.1383578777313232,0.676926772
GP_ChemBERTa,1234,0.3,0.6628545816486547,1.1112456321716309,0.6634955574505205
GP_ChemBERTa,12,0.2,0.6381557852937108,1.1314215660095217,0.6499579610122781
GP_ChemBERTa,123,0.2,0.6191378225239943,1.1819603443145752,0.6498937699910142
GP_ChemBERTa,1234,0.2,0.6152632954771162,1.1774743795394895,0.6153377233264301
GP_ChemBERTa,12,0.1,0.5395445902810541,1.262057542800903,0.5759641249909373
GP_ChemBERTa,123,0.1,0.5109738169431931,1.3208945989608765,0.5597085682819054
GP_ChemBERTa,1234,0.1,0.5361451614839866,1.292527437210083,0.5628974891952635
